Id,Lei,Name
lch,F226TOH6YD6XJB17KS62,LCH
cme,6SI7IOVECKBHVYBTB459,CME
eurex,529900LN3S50JPU47S06,EUREX
lme,213800L8AQD59D3JRW81,LME
ice,7245003TLNC4R9XFDX32,ICE
